account_id,plan_tier,industry,mrr_amount,ticket_count,avg_resolution_time,avg_satisfaction,churn,churn_risk_score,account_name,country,signup_date,referral_source,seats_x,is_trial,churn_flag_x,arr_amount,seats_y,upgrade_flag,downgrade_flag,churn_flag_y,billing_frequency,auto_renew_flag,total_usage_count,total_usage_secs,total_errors,beta_feature_ratio,escalation_rate
A-6a4e2d,Pro,EdTech,944.9090909090908,2.0,18.5,4.5,1,0.87,Company_46,UK,2023-04-07,partner,9,False,False,11338.90909090909,23.818181818181817,0.1818181818181818,0.0909090909090909,True,annual,0.8181818181818182,597.0,172764.0,31.0,0.0411255411255411,0.5
A-d792a6,Enterprise,DevTools,1536.6,5.0,40.6,4.0,1,0.87,Company_486,US,2023-01-23,organic,4,False,False,18439.2,18.73333333333333,0.0666666666666666,0.0666666666666666,True,annual,0.9333333333333332,690.0,203395.0,40.0,0.1117460317460317,0.0
A-65aeb5,Pro,DevTools,2866.0,2.0,42.5,5.0,1,0.87,Company_120,US,2024-01-25,partner,9,False,False,34392.0,19.75,0.0,0.0833333333333333,True,annual,0.75,533.0,148034.0,40.0,0.0791666666666666,0.0
A-eb7fac,Enterprise,DevTools,4209.6,4.0,34.0,4.0,1,0.87,Company_28,US,2023-10-28,organic,7,False,False,50515.2,32.4,0.0,0.0,True,monthly,0.9,538.0,185729.0,44.0,0.0930335097001763,0.0
A-117171,Basic,HealthTech,2403.0,6.0,32.5,3.6666666666666665,1,0.87,Company_135,FR,2024-09-12,organic,45,False,True,28836.0,45.0,0.0,0.2,True,monthly,1.0,208.0,59864.0,11.0,0.05,0.1666666666666666
A-2d1036,Pro,FinTech,4973.307692307692,5.0,37.8,4.6,1,0.87,Company_399,US,2024-06-14,ads,69,False,True,59679.69230769231,69.0,0.0,0.0769230769230769,True,annual,0.7692307692307693,692.0,181335.0,40.0,0.1826923076923076,0.2
A-aa9511,Pro,DevTools,4064.6666666666665,2.0,56.5,4.0,1,0.8666666666666667,Company_203,US,2023-10-10,other,23,True,False,48776.0,34.0,0.0,0.0666666666666666,True,monthly,0.8666666666666667,625.0,189526.0,35.0,0.0861904761904761,0.0
A-6da850,Pro,FinTech,1159.9375,5.0,49.0,4.0,1,0.8666666666666667,Company_293,IN,2023-10-07,organic,5,False,False,13919.25,16.375,0.1875,0.0625,True,monthly,0.75,714.0,186370.0,54.0,0.127918956043956,0.0
A-76fa4d,Pro,HealthTech,8812.285714285714,5.0,33.4,4.5,1,0.8666666666666667,Company_226,US,2024-11-24,event,69,False,False,105747.42857142857,69.0,0.0,0.0,True,monthly,0.8571428571428571,357.0,126251.0,21.0,0.1122448979591836,0.0
A-ce550d,Enterprise,HealthTech,5417.888888888889,7.0,42.285714285714285,3.8,1,0.8666666666666667,Company_4,US,2024-10-27,event,35,False,True,65014.66666666666,47.11111111111112,0.2222222222222222,0.0,True,annual,0.6666666666666666,579.0,215779.0,31.0,0.0555555555555555,0.1428571428571428
A-0b0d6d,Pro,DevTools,2576.230769230769,5.0,31.4,4.0,1,0.8666666666666667,Company_267,US,2024-12-30,organic,3,False,False,30914.76923076923,20.692307692307693,0.0769230769230769,0.0,True,annual,1.0,582.0,162411.0,48.0,0.1786324786324786,0.2
A-40a557,Pro,Cybersecurity,2591.555555555556,7.0,30.571428571428573,3.6666666666666665,1,0.8633333333333333,Company_86,AU,2023-12-03,partner,16,True,False,31098.666666666668,21.55555555555556,0.1111111111111111,0.0,True,monthly,1.0,402.0,114217.0,17.0,0.0595238095238095,0.0
A-ac9111,Pro,HealthTech,1664.125,3.0,24.666666666666668,5.0,1,0.8633333333333333,Company_487,US,2023-08-12,event,21,True,False,19969.5,26.625,0.0,0.0625,True,monthly,0.875,808.0,254330.0,46.0,0.108829365079365,0.0
A-d77f4c,Pro,DevTools,3480.428571428572,2.0,31.0,4.0,1,0.8633333333333333,Company_470,US,2023-09-25,partner,4,True,False,41765.142857142855,23.928571428571427,0.2857142857142857,0.0714285714285714,True,monthly,0.7857142857142857,617.0,182046.0,32.0,0.0697278911564625,0.0
A-6a7c9d,Enterprise,Cybersecurity,2605.6,3.0,34.333333333333336,4.0,1,0.8566666666666667,Company_324,US,2024-10-24,organic,26,False,True,31267.2,30.4,0.0,0.0,True,monthly,1.0,189.0,65006.0,6.0,0.05,0.0
A-a45270,Enterprise,HealthTech,1677.5833333333333,4.0,64.0,4.0,1,0.8533333333333334,Company_37,US,2024-06-24,ads,3,False,False,20131.0,23.25,0.1666666666666666,0.0833333333333333,True,annual,0.75,733.0,222582.0,53.0,0.0570436507936507,0.0
A-309e54,Pro,DevTools,2595.3636363636365,5.0,23.8,3.0,1,0.8533333333333334,Company_371,US,2024-12-09,other,15,False,False,31144.36363636364,31.545454545454547,0.0,0.0909090909090909,True,monthly,1.0,509.0,168199.0,24.0,0.0357142857142857,0.0
A-dbc825,Enterprise,EdTech,2650.25,6.0,49.5,4.0,1,0.8533333333333334,Company_252,FR,2024-01-07,partner,19,False,False,31803.0,27.1875,0.125,0.0,True,annual,0.875,730.0,212801.0,58.0,0.1079861111111111,0.1666666666666666
A-3793ee,Enterprise,Cybersecurity,3815.0,4.0,43.75,4.0,1,0.85,Company_332,CA,2023-03-21,organic,49,True,False,45780.0,49.0,0.1428571428571428,0.1428571428571428,True,monthly,0.8571428571428571,352.0,97381.0,11.0,0.0238095238095238,0.0
A-484819,Pro,HealthTech,2575.5,5.0,33.2,4.5,1,0.85,Company_109,US,2023-02-21,organic,18,False,False,30906.0,19.5,0.375,0.0,True,annual,0.875,336.0,116076.0,20.0,0.0952380952380952,0.0
A-202b67,Pro,HealthTech,2018.6666666666667,4.0,36.75,4.666666666666667,1,0.8466666666666667,Company_305,US,2024-03-22,organic,11,False,False,24224.0,21.33333333333333,0.1111111111111111,0.0,True,monthly,0.8888888888888888,447.0,110514.0,40.0,0.1169642857142857,0.0
A-53f4e3,Enterprise,Cybersecurity,1507.2,5.0,28.6,4.0,1,0.8433333333333334,Company_194,UK,2024-06-14,event,13,False,False,18086.4,25.8,0.0,0.0,True,annual,0.8,410.0,127529.0,45.0,0.05,0.0
A-4814a3,Basic,Cybersecurity,7996.090909090909,4.0,18.75,4.0,1,0.8433333333333334,Company_337,IN,2024-09-17,event,87,False,True,95953.09090909093,87.0,0.1818181818181818,0.0909090909090909,True,monthly,0.7272727272727273,587.0,168767.0,45.0,0.1088383838383838,0.25
A-7cfe77,Pro,DevTools,2553.0,7.0,30.714285714285715,3.5,1,0.8433333333333334,Company_367,US,2024-07-10,ads,69,False,False,30636.0,69.0,0.2,0.2,False,annual,1.0,205.0,57582.0,11.0,0.0285714285714285,0.0
A-b44e3e,Basic,Cybersecurity,6217.285714285715,3.0,40.0,4.333333333333333,1,0.84,Company_383,UK,2024-02-12,ads,40,False,False,74607.42857142857,45.57142857142857,0.4285714285714285,0.0,True,annual,0.8571428571428571,387.0,114913.0,13.0,0.1088435374149659,0.0
A-9289f6,Enterprise,EdTech,1091.3333333333333,6.0,37.5,4.333333333333333,1,0.8366666666666667,Company_104,US,2023-05-31,event,1,False,False,13096.0,21.666666666666668,0.1666666666666666,0.0,True,annual,0.8333333333333334,642.0,200375.0,38.0,0.0898809523809523,0.0
A-72799b,Enterprise,DevTools,1731.5,2.0,33.5,4.5,1,0.8366666666666667,Company_394,FR,2023-11-13,event,20,False,True,20778.0,26.5,0.2,0.1,True,monthly,0.8,550.0,154998.0,34.0,0.1597222222222222,0.5
A-c58f49,Enterprise,EdTech,10140.0,3.0,36.333333333333336,5.0,1,0.8366666666666667,Company_480,US,2024-07-31,other,70,True,False,121680.0,70.0,0.1428571428571428,0.0,False,monthly,1.0,363.0,108540.0,22.0,0.0620748299319727,0.3333333333333333
A-df10db,Enterprise,DevTools,1066.3636363636365,2.0,68.5,3.0,1,0.8366666666666667,Company_143,US,2023-06-06,other,2,True,False,12796.363636363636,17.09090909090909,0.1818181818181818,0.0,True,monthly,0.8181818181818182,697.0,214976.0,40.0,0.022077922077922,0.5
A-b9f5b1,Pro,Cybersecurity,1010.2857142857144,6.0,31.83333333333333,3.333333333333333,1,0.8333333333333334,Company_494,US,2023-01-24,other,15,True,False,12123.42857142857,26.285714285714285,0.0,0.0,True,annual,0.7142857142857143,307.0,90576.0,12.0,0.064625850340136,0.1666666666666666
A-cc102e,Enterprise,HealthTech,1006.3,4.0,33.25,4.333333333333333,1,0.8333333333333334,Company_443,US,2024-04-15,partner,13,False,False,12075.6,17.0,0.1,0.0,True,monthly,0.8,394.0,121564.0,39.0,0.1233333333333333,0.0
A-e3bd71,Basic,Cybersecurity,3784.5454545454554,4.0,30.25,4.0,1,0.8333333333333334,Company_347,US,2023-03-25,partner,31,False,False,45414.545454545456,40.81818181818182,0.0909090909090909,0.0909090909090909,True,monthly,0.7272727272727273,638.0,187024.0,27.0,0.0454545454545454,0.0
A-6f50ae,Pro,FinTech,1900.571428571429,5.0,31.0,4.5,1,0.8333333333333334,Company_466,US,2023-09-21,partner,19,False,True,22806.85714285714,21.428571428571427,0.0,0.0714285714285714,False,annual,0.6428571428571429,811.0,240012.0,48.0,0.0522675736961451,0.0
A-8bde0c,Basic,DevTools,1899.888888888889,3.0,25.666666666666668,4.0,1,0.83,Company_287,US,2024-11-04,organic,12,False,False,22798.666666666668,26.444444444444443,0.1111111111111111,0.0,True,monthly,0.8333333333333334,773.0,240908.0,43.0,0.062037037037037,0.0
A-3f9cc0,Basic,HealthTech,2848.5714285714284,5.0,34.8,4.5,1,0.83,Company_359,US,2024-06-03,event,22,False,False,34182.857142857145,23.142857142857142,0.1428571428571428,0.2857142857142857,False,monthly,0.7142857142857143,407.0,124321.0,24.0,0.0,0.2
A-241e75,Enterprise,EdTech,718.8,4.0,31.5,4.5,1,0.83,Company_242,US,2024-07-03,partner,3,False,False,8625.6,19.2,0.0,0.2,False,annual,0.8,266.0,100257.0,20.0,0.0507936507936507,0.0
A-a8d89d,Pro,EdTech,2443.333333333333,2.0,44.5,5.0,1,0.83,Company_326,US,2023-12-08,ads,13,False,False,29320.0,22.25,0.1666666666666666,0.0,False,monthly,0.9166666666666666,551.0,170966.0,26.0,0.0826388888888888,0.0
A-c222ab,Pro,Cybersecurity,2665.1428571428573,4.0,39.0,5.0,1,0.83,Company_206,US,2024-05-10,other,32,False,True,31981.714285714286,32.0,0.1428571428571428,0.0,True,monthly,0.8571428571428571,435.0,133441.0,33.0,0.1275510204081632,0.0
A-7f4db3,Pro,FinTech,1751.7333333333331,5.0,16.6,3.25,1,0.83,Company_441,US,2023-03-05,other,4,False,False,21020.8,19.933333333333334,0.0,0.0666666666666666,True,annual,0.8666666666666667,844.0,278000.0,46.0,0.0734126984126984,0.2
A-118f1c,Pro,Cybersecurity,6520.0,1.0,64.0,3.0,1,0.83,Company_492,US,2024-10-31,other,32,False,False,78240.0,44.0,0.0,0.0,True,annual,0.625,369.0,96816.0,14.0,0.0416666666666666,0.0
